CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
temper_cont;Temperature Control;;;;;;;;;;;;;x
local_tractors_desc;Temperature Control has arrived in this province in the form of air conditions and heaters, increasing its liveability.;;;;;;;;;;;;;x
dev_6;Very Developed;;;;;;;;x;;;;;;;;;;;;;
dev_5;Developed;;;;;;;;x;;;;;;;;;;;;;
dev_4;Slightly Undeveloped;;;;;;;;x;;;;;;;;;;;;;
dev_3;Moderately Undeveloped;;;;;;;;x;;;;;;;;;;;;;
dev_2;Highly Undeveloped;;;;;;;;x;;;;;;;;;;;;;
dev_1;Extremely Undeveloped;;;;;;;;x;;;;;;;;;;;;;
dev_timer;National development underway;;;;;;;;x;;;;;;;;;;;;;
craftsmen_fix_cooldown;Craftsmen Fix Cooldown;;;;;;;;;;;;;
craftsmen_fix_cooldown_desc;Craftsmen Fix Cooldown is 1 year.;;;;;;;;;;;;;
Dimotiki;Dimotiki;;;;;;;;;;;;;x
Dimotiki_desc;The form of Greek Commonly spoken;;;;;;;;;;;;;x
Katharevousa;Katharevousa;;;;;;;;;;;;;x
Katharevousa_desc;A constructed form of greek between ancient and modern Greek;;;;;;;;;;;;;x
Koini_Greek1;Koini Greek (Ancient Greek);;;;;;;;;;;;;x
Koini_Greek1_desc;A reconstucted version of Ancient Greek;;;;;;;;;;;;;x
Koini_Greek2;Koini Greek (Ancient Greek);;;;;;;;;;;;;x
Koini_Greek2_desc;A reconstucted version of Ancient Greek;;;;;;;;;;;;;x
Koini_Greek3;Koini Greek (Ancient Greek);;;;;;;;;;;;;x
Koini_Greek3_desc;A reconstucted version of Ancient Greek;;;;;;;;;;;;;x
Language_Debate;A debate over the Language of the nation;;;;;;;;;;;;;x
Language_Debate_desc;The country is in the midst of a Language Debate;;;;;;;;;;;;;x
Disglosia;Disglosia;;;;;;;;;;;;;x
Disglosia_desc;Our country uses one language for official function and another for Speech;;;;;;;;;;;;;x
Colonial_Destiny;Colonial Destiny;;;;;;;;;;;;;x
Colonial_Destiny_desc; Our Country has Embraced its Colonial Destiny;;;;;;;;;;;;;x
Adopted_latin;Adopted Latin;;;;;;;;;;;;;x
Adopted_latin_desc;Adopted the Latin alphabet;;;;;;;;;;;;;x
Adopted_Cyrilic;Adopted Cyrilic;;;;;;;;;;;;;x
Adopted_Cyrilic_desc;Adopted the Cyrilic alphabet;;;;;;;;;;;;;x
Adopted_Hellenic;Adopted Hellenic;;;;;;;;;;;;;x
Adopted_Hellenic_desc;Adopted the Hellenic alphabet;;;;;;;;;;;;;x
Adopted_Arabic;Adopted Arabic;;;;;;;;;;;;;x
Adopted_Arabic_desc;Adopted the Arabic system;;;;;;;;;;;;;x
Adopted_Ethiopic;Adopted Ethiopic;;;;;;;;;;;;;x
Adopted_Ethiopic_desc;Adopterd the Ethiopic system;;;;;;;;;;;;;x
Adopted_Chinese;Adopted Chinese;;;;;;;;;;;;;x
Adopted_Chinese_desc;Adopted the Chinese system;;;;;;;;;;;;;x
Adopted_Original;Adopted Original;;;;;;;;;;;;;x
Adopted_Original_desc;Adopted the Original writing system;;;;;;;;;;;;;x
Anti_Literacy_Movement;Anti Literacy Movement;;;;;;;;;;;;;x
Anti_Literacy_Movement_desc;An anti Literacy Movement;;;;;;;;;;;;;x
religious_resurgence;Religious Resurgence;;;;;;;;;;;;;x
religious_resurgence_desc;We have achieved our religious goals and our faith is resurging as a result.;;;;;;;;;;;;;x
cultural_revival;Cultural Revival.;;;;;;;;;;;;;x
cultural_revival_desc;We have acheived our core cultural objectives and as a result our culture heritage is being revived.;;;;;;;;;;;;;x
destiny_fullfiled;Destiny Fullfiled.;;;;;;;;;;;;;x
destiny_fullfiled_desc;We have achieved our destiny reaching heights a few years ago only imaginable in the wildest dreams of hopeless romantics.;;;;;;;;;;;;;x
universal_imperium;Universal Empire;;;;;;;;;;;;;x
universal_imperium_desc;Our Empire has Unified its two ancestral mandates and has claimed dominion over mankind. The lands that are not yet under our rule soon will be.;;;;;;;;;;;;;x
nat_library_established;We have established a national library;;;;;;;;;;;;;x
nat_library_established_desc;A national library is the centre of scholarship for a state, while universities produce knowledge library act as a repository.;;;;;;;;;;;;;x
nat_observ_established;We have established a national observatory;;;;;;;;;;;;;x
nat_observ_established_desc;The Fascination with the stars is a natural aspect of the Human experience constructing an observatory will both increase our prestige and allow our brightest minds to better understand the cosmos.;;;;;;;;;;;;;x
adopted_stamps;We have adopted a system of Stamps;;;;;;;;;;;;x
adopted_stamps_desc;Stamps are a fundemental requirement for the proper allocation of letters and goods. With the establishment of a national stamp system we are officially entering the industrial era.;;;;;;;;;;;;;x
adopted_anthem;We have adopted an Anthem ;;;;;;;;;;;;;x
adopted_anthem_desc;An anthem is one of the core aspects of a state's national identity, it is generally seen as an apolitical unifying element.;;;;;;;;;;;;;x 
