CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
EVTDESC201080;A foreign power has asked for access to the old ruins in the Indus. An expedition of archaeologists, led by representative of the National $FROMCOUNTRY_ADJ$ Museum has arrived in $COUNTRY$. They are offering a substantial sum to be granted access to explore and document the old ruins.;;;;;;;;;;;;;x
EVTNAME201080;$FROMCOUNTRY_ADJ$ Archaeological Expedition;;;;;;;;;;;;;x
EVTOPTA201080;If they want dirt, give them dirt.;;;;;;;;;;;;;x
EVTOPTB201080;We will not let foreigners desecrate our archeological heritage;;;;;;;;;;;;;x
EVTDESC201081;The government of $FROMCOUNTRY$ has decided to give full access regarding our expedition in the region of Indus. Our exploration and research can begin.;;;;;;;;;;;;;x
EVTNAME201081;$FROMCOUNTRY$ gives access;;;;;;;;;;;;;x
EVTOPTA201081;Splendid;;;;;;;;;;;;;x
EVTDESC201082;The $FROMCOUNTRY_ADJ$ have refused to grant our explorers and archaeologists access to their country. This is a major setback to our archaeological ambitions.;;;;;;;;;;;;;x
EVTNAME201082;$FROMCOUNTRY$ denies access;;;;;;;;;;;;;x
EVTOPTA201082;That's rather unfortunate.;;;;;;;;;;;;;x
EVTDESC201083;Copper seals with a script—could this be a form of writing? Satisfyingly, our archaeologists have uncovered an entire archive of ancient tablets during their latest expedition. They believe this archive was once part of a grand palace belonging to an unknown ruler of the Harappan civilization.;;;;;;;;;;;;;x
EVTNAME201083;An Archive of Harappan Tablets;;;;;;;;;;;;;x
EVTOPTA201083;That belongs in a museum!;;;;;;;;;;;;;x
EVTDESC201084;Today is an exceptional day for $COUNTRY_ADJ$ archaeology. After months of research and excavation, our team has uncovered an ancient palace dating back to the Bronze Age. Our archaeologists estimate that these structures are over 5,000 years old, belonging to the Harappan civilization!;;;;;;;;;;;;;x
EVTNAME201084;Harappan Palace Found;;;;;;;;;;;;;x
EVTOPTA201084;Incredible!;;;;;;;;;;;;;x
EVTDESC201085;The archaeological team in the Indus Valley is facing a major crisis. It appears that the lead archaeologists miscalculated the excavation site. After months of effort, they have found nothing but dirt, dealing a severe setback to $COUNTRY_ADJ$ archaeology.;;;;;;;;;;;;;x
EVTNAME201085;Indus Expedition Failed;;;;;;;;;;;;;x
EVTOPTA201085;We must start over again!;;;;;;;;;;;;;x
EVTDESC201086;Scientific research and aerial surveys leave no doubt: the Indus Valley, once shrouded in mystery, is now a cornerstone of modern archaeology. Excavations have uncovered vast cities with advanced drainage systems, great public baths, and archives filled with inscribed seals and tablets. But the most prestigious discovery was made by a $COUNTRY_ADJ$ archaeologist, who found evidence that the so-called "Great Bath of Mohenjo-Daro" may have held deep religious significance. This discovery reshapes our understanding of the Harappan civilization.;;;;;;;;;;;;;x
EVTNAME201086;Secrets of the Harappan Civilization;;;;;;;;;;;;;x
EVTOPTA201086;History is rewritten before our eyes.;;;;;;;;;;;;;x
EVTDESC201090;A foreign power has asked for access to the old ruins of Yinxu. An expedition of archaeologists, led by representative of the National $FROMCOUNTRY_ADJ$ Museum has arrived in $COUNTRY$. They are offering a substantial sum to be granted access to explore and document the old ruins.;;;;;;;;;;;;;x
EVTNAME201090;$FROMCOUNTRY_ADJ$ Archaeological Expedition;;;;;;;;;;;;;x
EVTOPTA201090;If they want dirt, give them dirt.;;;;;;;;;;;;;x
EVTOPTB201090;We will not let foreigners desecrate our archeological heritage;;;;;;;;;;;;;x
EVTDESC201091;The government of $FROMCOUNTRY$ has decided to give full access regarding our expedition in the region of Hainan. Our exploration and research can begin.;;;;;;;;;;;;;x
EVTNAME201091;$FROMCOUNTRY$ gives access;;;;;;;;;;;;;x
EVTOPTA201091;Splendid;;;;;;;;;;;;;x
EVTDESC201092;The $FROMCOUNTRY_ADJ$ have refused to grant our explorers and archaeologists access to their country. This is a major setback to our archaeological ambitions.;;;;;;;;;;;;;x
EVTNAME201092;$FROMCOUNTRY$ denies access;;;;;;;;;;;;;x
EVTOPTA201092;That's rather unfortunate.;;;;;;;;;;;;;x
EVTDESC201093;Oracle bones inscribed with strange characters—could this be the earliest form of Chinese writing? Our archaeologists have unearthed a vast archive of these bones at the ruins of Yinxu, believed to have belonged to a royal divination archive from the Shang Dynasty.;;;;;;;;;;;;;x
EVTNAME201093;An Archive of Oracle Bones;;;;;;;;;;;;;x
EVTOPTA201093;That belongs in a museum!;;;;;;;;;;;;;x
EVTDESC201094;Today is an exceptional day for $COUNTRY_ADJ$ archaeology. After months of excavation, our team has uncovered the ruins of an ancient palace at Yinxu. Our archaeologists estimate that these structures date back over 3,000 years, offering invaluable insights into the Shang Dynasty.;;;;;;;;;;;;;x
EVTNAME201094;Palace of Yinxu Discovered;;;;;;;;;;;;;x
EVTOPTA201094;Incredible!;;;;;;;;;;;;;x
